hour,Denver_Res_mw,Denver_Com_mw,Denver_Ind_mw,Denver_mw,East_Res_mw,East_Com_mw,East_Ind_mw,East_mw,Mountain_Res_mw,Mountain_Com_mw,Mountain_Ind_mw,Mountain_mw,North_Res_mw,North_Com_mw,North_Ind_mw,North_mw,South_Res_mw,South_Com_mw,South_Ind_mw,South_mw,West_Res_mw,West_Com_mw,West_Ind_mw,West_mw
6212,2028.8320603244936,1579.4802839843396,700.7920961041314,4309.104440412964,112.29546109946855,79.48915469981515,80.61737836444256,272.4019941637263,57.19786113369938,87.04513955399804,24.854098847383487,169.0970995350809,457.3517361382899,261.21190292686896,197.88155389719964,916.4451929623585,735.5246793264674,353.0585261453993,183.1668106032381,1271.7500160751047,340.4039348033411,201.84115451253922,148.20941882076716,690.4545081366474
6213,1905.3235326848658,1503.2094444026336,732.049207403153,4140.582184490652,100.3225830678169,72.44684959832185,84.21311864487845,256.98255131101723,54.01453048813965,86.6893034956731,25.962654920187877,166.66648890400063,398.90575867275106,237.43505912706357,206.70757489340255,843.0483926932172,675.9614539340718,334.75325933921965,191.33651659327472,1202.0512298665662,316.0753527659395,188.8097027897557,154.81993615593365,659.7049917116288
6214,1854.9608806867764,1405.636202094832,768.944481360024,4029.541564141632,93.34535645101884,59.82634818999053,88.45745912328313,241.6291637642925,48.84528998567028,81.0969844963671,27.2711725119575,157.21344699399486,380.7838198561845,216.22728268893695,217.12563494664218,814.1367374917637,635.1501331318802,304.4751421264067,200.97987543619266,1140.6051506944796,300.2720969176534,174.38243977679966,162.62285964890683,637.2773963433599
6215,1750.9143023784304,1305.2681140918694,803.0943969130867,3859.2768133833865,81.78131991523814,51.069755615408845,92.38598040450195,225.23705593514893,45.08554806309555,74.60282639000559,28.482323981136602,148.17069843423775,347.438339756788,196.3185170734341,226.7684924969278,770.5253493271499,599.4883452980943,275.29777850506736,209.90567689570992,1084.6918006988717,262.68349903199766,153.67221959220686,169.84517160852351,586.200890232728
6216,1437.3583671057497,1210.099022863172,801.5928023419489,3449.0501923108704,65.50453831788654,45.66251647074298,92.21324070272108,203.38029549135058,37.222198804428125,69.12182596328302,28.429068842976182,134.77309361068734,282.40700827148544,182.18908642341333,226.3444896168836,690.9405843117823,484.7925117576189,253.7258382775536,209.51320345038502,948.0315534855575,205.26975160433182,140.3929136875435,169.52760173304978,515.1902670249251
6217,1083.429764187157,1129.3338081856614,763.0333531157384,2975.7969254885566,50.88767969069255,42.24403498145761,87.77745764370094,180.9091723158511,28.25122023655673,62.85933227567606,27.061530070925738,118.17208258315853,219.17199283313533,167.00149251385676,215.45651902942862,601.6300043764207,350.26469192228444,230.51340719298136,199.43487726399349,780.2129763792593,156.05658335313817,130.34425316372105,161.37272442830294,447.77356094516216
6218,851.0924964908826,1033.2527128085717,729.692243014968,2614.0374523144224,40.119993855454375,38.44800089313954,83.94197932848182,162.50997407707575,22.37114730319497,57.989521743292634,25.879063472439856,106.23973251892745,172.27728947933224,154.22743013596494,206.04204259329924,532.5467622085964,261.2734363001399,215.6521936311935,190.7204741862766,667.6461041176101,124.45243137776147,118.92449918966251,154.32146546241967,397.69839602984365
6219,729.72859210459,1045.6230542660169,731.506548805729,2506.858195176336,33.291523979716345,37.61704010456394,84.15069255058536,155.05925663486565,20.653263781243957,52.918451106032734,25.943409140311452,99.51512402758814,139.196072247255,156.77635538620777,206.55434524499344,502.5267728784562,216.5599084269558,209.55205562654788,191.19468131132857,617.3066453648323,101.14520375364201,115.23825870311245,154.70517014217663,371.0886325989311
6220,666.0215902194376,1040.3706235162058,717.9412327598442,2424.333446495488,30.523097305094286,36.32641089321682,82.5901723586712,149.4396805569823,18.533929506152234,51.01559088174797,25.46230538960602,95.01182577750622,125.30929341827003,154.3448955291421,202.72392844493373,482.37811739234587,200.89721619569588,206.00571334319514,187.6490995492585,594.5520290881495,92.19997636338087,113.56931440714474,151.83626277513082,357.60555354565645
6221,628.0732616741159,1009.6006271531911,682.416218673598,2320.090107500905,30.027703344083132,35.129955561151576,78.50346316501114,143.66112207024585,18.21991889679313,51.121483734963334,24.20238505579698,93.54378768755345,115.87661300371857,151.1577139361821,192.69278650043077,459.72711344033144,196.39571703373028,203.19326281024453,178.3638870547301,577.9528668987049,88.85120971967562,112.6241290965503,144.32313338826663,345.79847220449255
6222,617.8628194118863,1028.519893579424,624.4484875257442,2270.8312005170546,29.14012311905994,34.92392105411531,71.83499966370417,135.8990438368794,19.482922914379365,53.47969713465149,22.14651751973786,95.1091375687687,114.72875470253955,155.017992633819,176.3245300957125,446.07127743207104,201.69889158216813,206.87241279719368,163.21279660824104,571.7841009876029,88.38121725487618,112.33804935609821,132.0636290480446,332.782895659019
6223,675.637408309204,1130.524330055596,606.2406961297864,2412.4024344945865,33.261396771740266,38.81424949989796,69.74042066330023,141.81606693493845,23.23468621035503,62.95394715324243,21.50076502101043,107.6893983846079,127.54500557058046,173.73466860154966,171.18322488622448,472.4628990583546,230.93068378351293,229.86434798696905,158.4538058937808,619.2488376642627,102.34376652978831,121.12929309853008,128.21289186677978,351.68595149509815
6224,818.8153487852919,1364.2463306649022,602.8775993424078,2785.9392787926017,37.962779727245156,47.35203151482049,69.35353838010728,154.6683496221729,30.981805875848213,73.68736050374548,21.381490359593013,126.0506567391867,156.18727651071333,200.4801300215906,170.2335925745977,526.9009991069017,284.73092938636194,270.67029465739387,157.5747895411155,712.9760135848712,122.70637540685362,145.97837992833536,127.5016358137131,396.1863911489021
6225,928.5318176956515,1502.0134251733941,606.6139568599624,3037.159199729008,45.10348355815189,53.79314093571333,69.78335964860054,168.67998414246577,35.54904699229863,75.01340822715176,21.514002982932684,132.07645820238307,178.38721989753415,222.91130510887888,171.28862192723943,572.5871469336524,334.01350160106415,299.2718819720969,158.55136546651266,791.8367490396736,135.1784600942777,156.0621242078882,128.2918321918713,419.5324164940372
6226,996.9034437472282,1862.7120695641227,635.3940706810421,3495.009583992393,45.639018733083425,69.04266275667699,73.09415230477363,187.77583379453404,31.964164616419893,85.8136693278907,22.53471054759359,140.3125444919042,195.29819901065537,280.3386984316406,179.4152170699553,655.0521145122513,362.91888761918875,383.39959203068344,166.07365586720525,912.3921355170775,141.06924996935783,186.3539486331737,134.3784932240527,461.80169182658426
6227,1086.28942418373,2286.396414709155,648.4227920597197,4021.1086309526045,52.13485806354784,89.82765193957864,74.59294398183283,216.5554539849593,31.413790398211027,93.93575623929418,22.996783580096164,148.34633021760135,227.18637453546904,350.0603171730868,183.09411648397392,760.3408081925297,421.900290678272,466.7292483905975,169.47898728352303,1058.1085263523926,149.55837982364463,218.83049839070614,137.13391702841102,505.5227952427618
