zone,forecast_year,summer_peak_demand_forecast_mw_idx,winter_peak_demand_forecast_mw_idx,net_demand_forecast_mwh_idx
South,2027,1.0159980693535442,1.0184386614919758,1.0052735024261978
South,2028,1.030007338236091,1.053343969107553,1.0109987676841432
South,2029,1.0523865468763507,1.0761565042528975,1.018822929079989
South,2030,1.0748561507136183,1.1103108908368884,1.024658834984169
South,2031,1.0944077447549927,1.1357552420498824,1.0302949701991215
South,2032,1.11364856902221,1.1631863419732982,1.0347242087131503
South,2033,1.1351380715211943,1.1927698237751,1.0400246633002062
South,2034,1.1537817910378034,1.229766449284371,1.045635517651269
South,2035,1.1744026277443051,1.2615868412690316,1.0509464466886513
South,2036,1.1953920080608544,1.2942305906860296,1.0562843506774044
South,2037,1.2167565187421228,1.327719002032862,1.061649366627079
South,2038,1.2385028642638216,1.3620739310641048,1.0670416322431164
South,2039,1.260637868926659,1.397317799055274,1.0724612859303833
South,2040,1.2831684789978983,1.4334736074357648,1.0779084667967238
South,2041,1.3061017648911915,1.4705649528004194,1.0833833146565306
South,2042,1.3294449233853718,1.508616042309524,1.088885970034333
South,2043,1.3532052798829022,1.5476517094872808,1.094416574168404
South,2044,1.3773902907086857,1.5876974304290687,1.0999752690143858
South,2045,1.4020075454499628,1.6287793404280697,1.1055621972489327
South,2046,1.4270647693380276,1.6709242510321103,1.111177502273374
South,2047,1.4525698256725115,1.7141596675418531,1.1168213282173947
South,2048,1.4785307182889933,1.7585138069617556,1.122493819942734
South,2049,1.5049555940707129,1.8040156164155128,1.1281951230469045
South,2050,1.5318527455051747,1.8506947920380026,1.133925383866929
West,2025,1.0,1.0,1.0
West,2026,1.0,1.0152370957635937,1.0010158477234163
West,2027,1.0149844864544781,1.019591520161267,1.0026649511705206
West,2028,1.0293700693163066,1.04619718366335,1.0075450562313986
West,2029,1.0541472483994547,1.0805602530624525,1.0168967408265708
West,2030,1.0777306245821572,1.117787618757137,1.022750416045831
West,2031,1.0981778261291941,1.1478600749202317,1.028261862120444
West,2032,1.1184344449222134,1.1781765400380966,1.0312170661737188
West,2033,1.1415021328307964,1.2094520807564972,1.0369898073762587
West,2034,1.161248068705762,1.2377526630745312,1.0424016339887374
West,2035,1.1831197384729535,1.2697040739282104,1.04737315435425
West,2036,1.2054033528980492,1.3024802801436743,1.0523683853644303
West,2037,1.228106670803443,1.336102573030779,1.0573874401023255
West,2038,1.2512375971460241,1.3705927935143472,1.0624304321903086
West,2039,1.2748041857695667,1.4059733463219575,1.0674974757926514
West,2040,1.2988146422089566,1.4422672145379776,1.0725886856181088
