resource_name,zone,tech_type,status_category,group_type,is_grouped,unit_count,nameplate_mw,summer_mw,storage_mwh,max_charge_mw,max_discharge_mw,commission_date,retirement_date,encompass_cf_shape,plant_codes,generator_ids,plant_name,energy_source,prime_mover,ba_code,filter_source
pivot_solar_30_SolarPV_proposed,North,Solar:PV,proposed,proposed,False,1,5.0,5.0,,,,,,North_Solar_CF,68957,PI30,Pivot Solar 30,SUN,PV,WACM,CO+BA
North_PSCO_battery_2hr_small,North,Storage:Battery,operating,small_battery,True,1,1.0,1.0,2.0,1.0,1.0,,,,63722,BA1,,MWH,BA,PSCO,CO+BA
North_WACM_battery_4hr_small,North,Storage:Battery,operating,small_battery,True,6,55.0,55.0,219.6,55.0,55.0,,,,62373; 67300; 67302; 67303; 67304; 67306,DAVBA; FREBA; I25BA; KEEBA; MEABA; RATBA,,MWH,BA,WACM,CO+BA
North_PSCO_Wind_existing,North,Wind,operating,renewable_zone,True,4,720.5,720.5,,,,,,North_Wind_CF,56371; 57210; 62840,1; 2; MTBRZ,,WND,WT,PSCO,CO+BA
North_WACM_Wind_existing,North,Wind,operating,renewable_zone,True,1,145.0,145.0,,,,,,North_Wind_CF,64872,PANWD,,WND,WT,WACM,CO+BA
comanche_co__2,South,Coal,operating,individual_tech,False,1,396.0,330.0,,,,1975-06-01,2025-12-01,,470,2,Comanche (CO),SUB,ST,WACM,CO+BA
comanche_co__3,South,Coal,operating,individual_tech,False,1,856.8,750.0,,,,2010-07-01,,,470,3,Comanche (CO),SUB,ST,WACM,CO+BA
ray_d_nixon__1,South,Coal,operating,individual_tech,False,1,207.0,195.0,,,,1980-04-01,2029-12-01,,8219,1,Ray D Nixon,SUB,ST,WACM,CO+BA
South_PSCO_GasCC_small,South,Gas:CC,operating,small_group,True,2,40.0,40.0,,,,,,,56998,43; 53,,NG,CA,PSCO,CO+BA
front_range_power_plant__3,South,Gas:CC,operating,large_thermal,False,1,246.5,190.0,,,,2003-04-01,,,55283,3,Front Range Power Plant,NG,CA,WACM,CO+BA
South_PSCO_GasCT_small,South,Gas:CT,operating,small_group,True,15,681.2,629.0,,,,,,,464; 55453; 56998,4; 5; 6; 7; CT08; CT1; CT2; GT1; GT2; S1; S2; S3; S4; S5; S6,,NG,GT,PSCO,CO+BA
South_WACM_GasCT_small,South,Gas:CT,operating,small_group,True,8,320.7,210.0,,,,,,,492; 8219,A1; A2; A3; A4; A5; A6; GT1; GT2,,NG,GT,WACM,CO+BA
front_range_power_plant__1,South,Gas:CT,operating,large_thermal,False,1,153.9,135.0,,,,2003-04-01,,,55283,1,Front Range Power Plant,NG,CT,WACM,CO+BA
front_range_power_plant__2,South,Gas:CT,operating,large_thermal,False,1,153.9,135.0,,,,2003-04-01,,,55283,2,Front Range Power Plant,NG,CT,WACM,CO+BA
horizon_GasCT_proposed,South,Gas:CT,proposed,proposed,True,10,480.0,370.0,,,,,,,68705,H01; H02; H03; H04; H05; H06; H07; H08; H09; H10,,NG,GT,WACM,CO+BA
South_PSCO_GasIC_small,South,Gas:IC,operating,small_group,True,8,18.0,18.0,,,,,,,460; 7995,IC1; IC2; IC3; IC4; IC5,,DFO,IC,PSCO,CO+BA
South_WACM_GasIC_small,South,Gas:IC,operating,small_group,True,5,9.2,9.2,,,,,,,511,3; 4; 5; 6; 7,,DFO,IC,WACM,CO+BA
South_WACM_GasST_small,South,Gas:ST,operating,small_group,True,3,61.1,54.0,,,,,,,493,1; 2; 3,,NG,ST,WACM,CO+BA
South_PACE_Hydro_small,South,Hydro,operating,small_group,True,2,7.5,7.1,,,,,,,64123,GEN35; GEN40,,WAT,HY,PACE,CO_only
South_PSCO_Hydro_small,South,Hydro,operating,small_group,True,1,0.6,0.6,,,,,,,474,2,,WAT,HY,PSCO,CO+BA
South_WACM_Hydro_small,South,Hydro,operating,small_group,True,6,38.7,40.0,,,,,,,10423; 494; 495; 7233,1; 2; 3; GEN1,,WAT,HY,WACM,CO+BA
South_PSCO_SolarPV_existing,South,Solar:PV,operating,renewable_zone,True,27,1642.6,1639.94,,,,,,South_Wind_CF,56481; 57317; 57368; 57377; 59656; 60008; 60304; 60723; 60801; 61472; 61605; 62239; 62260; 62379; 63681; 63731; 63770; 63776; 64024; 64031; 64212; 64266; 65032; 65990,1; 13; 14; 2; 228; 262; 264; 44901; 47301; 53963; ANTO2; CO465; COBH1; COMCH; CONEJ; COSM1; GS-P1; GS-P2; NT325; PUEB2; SCCO3; SISPV; TW300; USSGB,,SUN,PV,PSCO,CO+BA
South_WACM_SolarPV_existing,South,Solar:PV,operating,renewable_zone,True,9,129.4,127.91999999999999,,,,,,South_Wind_CF,57509; 57554; 58481; 59848; 60511; 62376; 62495; 64265; 67419,1; 20181; 263; AFA1; CSU1; PPSG1; PV1,,SUN,PV,WACM,CO+BA
elk_run_SolarPV_proposed,South,Solar:PV,proposed,proposed,False,1,200.0,200.0,,,,,,South_Solar_CF,67655,ELKRN,Elk Run,SUN,PV,PSCO,CO+BA
stagecoach_lre_SolarPV_proposed,South,Solar:PV,proposed,proposed,False,1,300.0,300.0,,,,,,South_Solar_CF,68079,STAS1,Stagecoach LRE,SUN,PV,PSCO,CO+BA
turkey_creek_solar_project_SolarPV_proposed,South,Solar:PV,proposed,proposed,False,1,200.0,200.0,,,,,,South_Solar_CF,64744,TC001,Turkey Creek Solar Project,SUN,PV,WACM,CO+BA
South_WACM_battery_2hr_small,South,Storage:Battery,operating,small_battery,True,1,4.2,4.2,8.5,4.2,4.2,,,,63022,1,,MWH,BA,WACM,CO+BA
neptune_energy_center_hybrid__NT125,South,Storage:Battery,operating,individual_tech,False,1,125.0,125.0,500.0,125.0,125.0,2023-06-01,,,63731,NT125,Neptune Energy Center Hybrid,MWH,BA,PSCO,CO+BA
thunder_wolf_energy_center_hybrid__TW100,South,Storage:Battery,operating,individual_tech,False,1,100.0,100.0,400.0,100.0,100.0,2023-06-01,,,63776,TW100,Thunder Wolf Energy Center Hybrid,MWH,BA,PSCO,CO+BA
